ensembl_id,log2FC,padj
ENSG00000172380,2.475,0.00
ENSG00000072274,2.129,7.08311072480581e-236
ENSG00000185896,1.576,5.26278705544811e-151
ENSG00000165410,1.811,4.38473597983899e-140
ENSG00000087086,1.412,2.33050214694022e-114
ENSG00000204217,1.291,2.43407670495618e-103
ENSG00000017797,-2.076,1.31744442627313e-96
ENSG00000108561,3.127,2.29612332387501e-95
ENSG00000115159,1.293,3.36813246681748e-90
ENSG00000178695,1.240,1.38197995929329e-87
ENSG00000127314,1.468,6.06853700921852e-87
ENSG00000180694,2.601,6.03946632895573e-86
ENSG00000152952,-1.208,1.20073953242519e-81
ENSG00000138448,1.131,7.07107897235781e-80
ENSG00000136244,-1.219,1.28151829371796e-79
ENSG00000152127,1.594,9.88852535277214e-77
ENSG00000160213,1.545,5.16929424069394e-73
ENSG00000069869,-1.346,4.7391436719557e-72
ENSG00000147065,0.821,6.35313669804362e-70
ENSG00000169967,1.336,6.43052662528616e-69
ENSG00000108468,1.310,1.97362256777959e-68
ENSG00000135919,-0.930,1.65507974312594e-65
ENSG00000102158,-1.052,7.2132885205668e-64
ENSG00000188211,1.229,1.53669220828515e-59
ENSG00000073756,-1.082,1.96912980758925e-59
ENSG00000101935,-1.107,4.68060711934781e-57
ENSG00000153250,-0.831,1.90878550173696e-56
ENSG00000116489,0.727,3.24562755052086e-55
ENSG00000139644,0.767,1.81428405939206e-54
ENSG00000153560,0.898,3.95201370501504e-54
ENSG00000079332,0.952,4.29016506656003e-54
ENSG00000107566,1.527,7.14958271117876e-53
ENSG00000145545,1.314,8.59632835138508e-53
ENSG00000092853,-1.083,1.34609716249687e-52
ENSG00000144681,1.830,1.98496750156633e-51
ENSG00000152332,0.967,1.95729667725726e-50
ENSG00000151893,0.820,4.7923737466119e-50
ENSG00000105887,0.878,1.42688242180448e-48
ENSG00000051382,2.310,3.41018543495408e-48
ENSG00000146066,1.430,5.79431378961053e-48
ENSG00000152291,-0.989,1.2670807774834e-47
ENSG00000143514,-1.213,2.1297143686146e-47
ENSG00000116133,1.411,3.63013586659056e-47
ENSG00000139921,1.195,6.32507227180273e-47
ENSG00000165244,-1.554,1.300707523137e-46
ENSG00000170540,-0.851,2.42439545351156e-46
ENSG00000083642,-0.984,8.23162279308422e-45
ENSG00000110395,0.996,1.40231251472277e-43
ENSG00000111145,-0.972,1.49857609424603e-43
ENSG00000163539,1.070,8.27319080994572e-43
ENSG00000137822,1.072,1.71224584718282e-42
ENSG00000164930,1.521,1.51284419851468e-41
ENSG00000124783,0.694,1.75197951648202e-41
ENSG00000169429,-1.235,2.12753841442217e-41
ENSG00000111652,1.171,4.96326244344224e-41
ENSG00000131747,-1.105,5.32979883917549e-41
ENSG00000168807,1.296,6.59871198711038e-41
ENSG00000261609,1.201,7.8420770313335e-41
ENSG00000152661,0.948,1.09182053472345e-40
ENSG00000112096,-0.923,2.5790066384972e-40
ENSG00000137965,-1.158,2.53908943155633e-39
ENSG00000165156,-1.119,2.53908943155633e-39
ENSG00000162704,-1.214,2.74088202533525e-39
ENSG00000183576,1.208,2.78785899473041e-39
ENSG00000253719,1.171,3.25122720414265e-39
ENSG00000104341,0.904,3.54036346719739e-39
ENSG00000164164,1.014,7.89451982734616e-39
ENSG00000163814,0.978,1.63742182037823e-38
ENSG00000114166,-1.588,1.87145356270463e-38
ENSG00000138756,1.074,2.61720402309022e-38
ENSG00000011405,0.749,1.66234169044104e-37
ENSG00000135048,-0.926,1.66234169044104e-37
ENSG00000103257,0.711,3.57720574165195e-37
ENSG00000272886,0.934,2.49906185385953e-36
ENSG00000162433,0.957,7.37069823538549e-36
ENSG00000159873,-0.922,1.58750647204862e-35
ENSG00000136999,1.155,2.15148692606867e-35
ENSG00000198862,0.948,5.0972500196137e-35
ENSG00000177888,1.033,1.02309967970071e-34
ENSG00000004455,0.683,1.09088571947715e-34
ENSG00000052723,1.047,2.33079198151425e-34
ENSG00000163428,0.729,6.15275765988877e-34
ENSG00000164818,1.180,1.53772871313024e-33
ENSG00000101974,-0.958,2.81042939970565e-33
ENSG00000127463,0.871,7.84074835716192e-33
ENSG00000183291,1.009,8.87321581458278e-33
