ensembl_id,log2FC,padj,comp_name
ENSG00000135919,1.218,1.3642339953746498e-114,ENSG00000135919_gna
ENSG00000017797,2.118,1.58343782505564e-102,ENSG00000017797_gna
ENSG00000152952,1.341,2.84592746255413e-102,ENSG00000152952_gna
ENSG00000069869,1.407,8.33012401210816e-80,ENSG00000069869_gna
ENSG00000101935,1.254,4.98550592816479e-75,ENSG00000101935_gna
ENSG00000102158,1.087,4.5203761643582496e-69,ENSG00000102158_gna
ENSG00000136244,1.103,2.64140799784059e-65,ENSG00000136244_gna
ENSG00000153250,0.871,2.8510442604855503e-63,ENSG00000153250_gna
ENSG00000112308,0.987,3.4625317613781e-63,ENSG00000112308_gna
ENSG00000073756,1.036,8.99345085998478e-55,ENSG00000073756_gna
ENSG00000143514,1.274,3.50971129875576e-53,ENSG00000143514_gna
ENSG00000151414,0.783,2.88265074421091e-46,ENSG00000151414_gna
ENSG00000165156,1.199,7.348483680199491e-46,ENSG00000165156_gna
ENSG00000169429,1.301,1.9460766123420802e-45,ENSG00000169429_gna
ENSG00000152291,0.932,4.0093298750162196e-42,ENSG00000152291_gna
ENSG00000147649,0.79,4.12427792617906e-37,ENSG00000147649_gna
ENSG00000101974,0.993,3.74954139337006e-36,ENSG00000101974_gna
ENSG00000173674,1.138,5.1810071576807095e-36,ENSG00000173674_gna
ENSG00000111145,0.868,6.35701551936612e-35,ENSG00000111145_gna
ENSG00000165832,1.494,4.92432737260152e-34,ENSG00000165832_gna
ENSG00000025800,0.638,5.25291789524536e-34,ENSG00000025800_gna
ENSG00000162704,1.123,4.2075563939975096e-33,ENSG00000162704_gna
ENSG00000087502,0.884,1.24794547897082e-32,ENSG00000087502_gna
ENSG00000082153,0.9,1.62321436004318e-32,ENSG00000082153_gna
ENSG00000118900,0.969,5.45215580031704e-32,ENSG00000118900_gna
ENSG00000172572,0.557,3.9324201636942403e-31,ENSG00000172572_gna
ENSG00000115977,0.874,2.0477811377759598e-30,ENSG00000115977_gna
ENSG00000159873,0.85,2.63839564577942e-30,ENSG00000159873_gna
ENSG00000132002,0.598,6.833127347258459e-30,ENSG00000132002_gna
ENSG00000114166,1.404,7.428555038553629e-30,ENSG00000114166_gna
ENSG00000170540,0.686,7.428555038553629e-30,ENSG00000170540_gna
ENSG00000131747,0.949,8.74271523444902e-30,ENSG00000131747_gna
ENSG00000247556,0.732,1.3915265274685998e-29,ENSG00000247556_gna
ENSG00000130147,0.989,2.30090549054852e-29,ENSG00000130147_gna
ENSG00000188211,-0.832,3.23137565180655e-29,ENSG00000188211_gna
ENSG00000083642,0.795,3.5255067601864e-29,ENSG00000083642_gna
ENSG00000196642,0.976,4.21716457524765e-29,ENSG00000196642_gna
ENSG00000165476,0.753,1.5031544586876498e-28,ENSG00000165476_gna
ENSG00000197312,0.9,2.52660816528559e-28,ENSG00000197312_gna
ENSG00000102189,0.887,1.0672596246296e-27,ENSG00000102189_gna
ENSG00000058272,0.728,3.27842275364502e-27,ENSG00000058272_gna
ENSG00000087086,-0.692,3.41576940914988e-27,ENSG00000087086_gna
ENSG00000003436,0.587,3.70543568018913e-27,ENSG00000003436_gna
ENSG00000115008,1.054,5.44881516720878e-27,ENSG00000115008_gna
ENSG00000135048,0.785,6.4051298866839896e-27,ENSG00000135048_gna
ENSG00000136485,0.816,7.14903681240141e-27,ENSG00000136485_gna
ENSG00000106366,0.735,1.2060054601910001e-26,ENSG00000106366_gna
ENSG00000009335,0.769,4.3150822437695097e-26,ENSG00000009335_gna
ENSG00000150938,0.607,8.74992067950465e-26,ENSG00000150938_gna
ENSG00000070814,0.859,9.41819858183815e-26,ENSG00000070814_gna
ENSG00000136381,0.811,1.4156733428411e-25,ENSG00000136381_gna
ENSG00000112096,0.739,1.6175086256476101e-25,ENSG00000112096_gna
ENSG00000092853,0.753,4.06265642009924e-25,ENSG00000092853_gna
ENSG00000163739,0.906,1.1063279014097801e-24,ENSG00000163739_gna
ENSG00000136261,0.928,8.29017579416237e-24,ENSG00000136261_gna
ENSG00000165244,1.116,1.50021618573374e-23,ENSG00000165244_gna
ENSG00000147862,0.557,2.03127075660364e-23,ENSG00000147862_gna
ENSG00000152127,-0.822,4.49972357678228e-23,ENSG00000152127_gna
ENSG00000137693,0.574,4.85045007827524e-23,ENSG00000137693_gna
ENSG00000147202,0.94,8.46787606333929e-23,ENSG00000147202_gna
ENSG00000172575,-1.492,2.94106823763587e-22,ENSG00000172575_gna
ENSG00000144228,1.159,2.9990737219346097e-22,ENSG00000144228_gna
ENSG00000172380,-0.554,3.6554475957358598e-22,ENSG00000172380_gna
ENSG00000094975,0.767,3.89052235745019e-22,ENSG00000094975_gna
ENSG00000185900,1.076,4.00090723373555e-22,ENSG00000185900_gna
ENSG00000107566,-0.937,6.07546610443279e-22,ENSG00000107566_gna
ENSG00000167460,0.505,6.1447264370119e-22,ENSG00000167460_gna
ENSG00000163527,0.524,2.05561585474472e-21,ENSG00000163527_gna
ENSG00000065809,0.779,2.17791975650243e-21,ENSG00000065809_gna
ENSG00000179855,0.9,2.22189019908259e-21,ENSG00000179855_gna
ENSG00000178691,0.727,2.47859751989981e-21,ENSG00000178691_gna
ENSG00000023171,0.64,3.7171790878981105e-21,ENSG00000023171_gna
ENSG00000108691,0.641,4.26446326609642e-21,ENSG00000108691_gna
ENSG00000165417,0.857,4.5753756722978905e-21,ENSG00000165417_gna
ENSG00000155090,0.495,2.01187542724938e-20,ENSG00000155090_gna
ENSG00000150712,0.554,3.58359955370176e-20,ENSG00000150712_gna
ENSG00000141027,0.572,4.71797074953809e-20,ENSG00000141027_gna
ENSG00000197712,0.941,4.87339006869034e-20,ENSG00000197712_gna
ENSG00000164023,0.699,5.82734654368445e-20,ENSG00000164023_gna
ENSG00000137959,-0.886,2.26897961743692e-19,ENSG00000137959_gna
ENSG00000165997,0.707,2.2753975300048603e-19,ENSG00000165997_gna
ENSG00000179119,0.772,4.52240038840114e-19,ENSG00000179119_gna
ENSG00000081320,0.95,7.105113382250431e-19,ENSG00000081320_gna
ENSG00000075568,0.643,7.77740412990637e-19,ENSG00000075568_gna
ENSG00000139722,1.043,9.57200384256005e-19,ENSG00000139722_gna
ENSG00000071054,0.7,9.6240011387793e-19,ENSG00000071054_gna
ENSG00000140157,0.669,1.28008168750895e-18,ENSG00000140157_gna
ENSG00000167881,0.794,1.40593064398107e-18,ENSG00000167881_gna
ENSG00000134070,0.594,1.681614448502e-18,ENSG00000134070_gna
ENSG00000064313,0.691,2.0316565506915e-18,ENSG00000064313_gna
ENSG00000142166,0.599,2.11002323664579e-18,ENSG00000142166_gna
ENSG00000180694,-1.028,2.33010236509104e-18,ENSG00000180694_gna
ENSG00000272886,-0.643,2.66839530121518e-18,ENSG00000272886_gna
ENSG00000028203,0.78,5.48585069764735e-18,ENSG00000028203_gna
ENSG00000114573,0.656,6.732901877249359e-18,ENSG00000114573_gna
ENSG00000100422,0.73,7.894997880375779e-18,ENSG00000100422_gna
ENSG00000119396,0.645,8.33387105362654e-18,ENSG00000119396_gna
ENSG00000185215,0.555,1.00526366021458e-17,ENSG00000185215_gna
ENSG00000104312,1.006,2.71777397927782e-17,ENSG00000104312_gna
ENSG00000109436,0.82,2.80273657722942e-17,ENSG00000109436_gna
ENSG00000163734,1.133,4.4339042813636e-17,ENSG00000163734_gna
ENSG00000117155,0.926,4.4339042813636e-17,ENSG00000117155_gna
ENSG00000148572,1.171,4.95961979786612e-17,ENSG00000148572_gna
ENSG00000146476,0.986,5.98134616014694e-17,ENSG00000146476_gna
ENSG00000109572,0.759,1.08510238329982e-16,ENSG00000109572_gna
ENSG00000113441,0.56,1.22186821689828e-16,ENSG00000113441_gna
ENSG00000107263,0.687,1.38889714034323e-16,ENSG00000107263_gna
ENSG00000165434,0.705,1.59700399021609e-16,ENSG00000165434_gna
ENSG00000260804,1.595,2.1467402764625199e-16,ENSG00000260804_gna
ENSG00000075945,1.032,3.36841382269666e-16,ENSG00000075945_gna
ENSG00000052723,-0.7,3.62947727502383e-16,ENSG00000052723_gna
ENSG00000144810,0.891,3.88993850855593e-16,ENSG00000144810_gna
ENSG00000111726,1.066,4.0874932469863197e-16,ENSG00000111726_gna
ENSG00000198668,0.663,4.11044443030897e-16,ENSG00000198668_gna
ENSG00000248323,0.549,5.986299869554779e-16,ENSG00000248323_gna
ENSG00000144560,0.779,6.10355862818624e-16,ENSG00000144560_gna
ENSG00000101182,0.861,6.139454681912889e-16,ENSG00000101182_gna
ENSG00000138757,0.561,6.916061585966039e-16,ENSG00000138757_gna
ENSG00000144029,1.032,8.634409485783039e-16,ENSG00000144029_gna
ENSG00000189159,0.824,8.668061945284801e-16,ENSG00000189159_gna
ENSG00000115902,0.654,9.17342545401518e-16,ENSG00000115902_gna
ENSG00000106785,-0.648,1.16522697100143e-15,ENSG00000106785_gna
ENSG00000123146,0.67,1.22438383270351e-15,ENSG00000123146_gna
ENSG00000049246,0.807,1.50757788976375e-15,ENSG00000049246_gna
ENSG00000081041,0.952,2.1229589016338602e-15,ENSG00000081041_gna
ENSG00000164823,0.845,2.2839464315957203e-15,ENSG00000164823_gna
ENSG00000137770,0.476,2.29001380553884e-15,ENSG00000137770_gna
ENSG00000106052,0.681,2.30161803258974e-15,ENSG00000106052_gna
ENSG00000179134,-0.553,2.3671896430409903e-15,ENSG00000179134_gna
ENSG00000055332,-0.549,2.9291546479650704e-15,ENSG00000055332_gna
ENSG00000116285,0.709,4.18585226676497e-15,ENSG00000116285_gna
ENSG00000183864,0.509,5.6821877689360205e-15,ENSG00000183864_gna
ENSG00000211455,0.615,6.6365724517351e-15,ENSG00000211455_gna
ENSG00000141664,-0.681,6.855836256963981e-15,ENSG00000141664_gna
ENSG00000151233,0.841,7.27587954292337e-15,ENSG00000151233_gna
ENSG00000104765,0.717,7.27587954292337e-15,ENSG00000104765_gna
ENSG00000125968,0.986,8.615970923045151e-15,ENSG00000125968_gna
ENSG00000129003,0.573,8.842639177739532e-15,ENSG00000129003_gna
ENSG00000136603,0.513,9.392183736350661e-15,ENSG00000136603_gna
ENSG00000132912,0.513,1.6442617196305502e-14,ENSG00000132912_gna
ENSG00000101350,0.503,2.4125409079044702e-14,ENSG00000101350_gna
ENSG00000261609,-0.669,2.8141523073219e-14,ENSG00000261609_gna
ENSG00000084090,-0.42,3.2118903126647e-14,ENSG00000084090_gna
ENSG00000084112,0.559,3.2272695821888604e-14,ENSG00000084112_gna
ENSG00000186480,0.753,3.2272695821888604e-14,ENSG00000186480_gna
ENSG00000138386,0.486,3.5290612835353e-14,ENSG00000138386_gna
ENSG00000143437,0.586,4.056996210548e-14,ENSG00000143437_gna
ENSG00000137965,0.696,6.975828671743521e-14,ENSG00000137965_gna
ENSG00000148943,0.559,7.112098406872481e-14,ENSG00000148943_gna
ENSG00000087274,0.517,7.22323190878093e-14,ENSG00000087274_gna
ENSG00000100030,0.453,8.674702226695171e-14,ENSG00000100030_gna
ENSG00000153904,0.67,9.052840653511691e-14,ENSG00000153904_gna
ENSG00000146278,0.402,1.21789725698321e-13,ENSG00000146278_gna
ENSG00000205336,0.466,1.22923940214615e-13,ENSG00000205336_gna
ENSG00000101849,0.608,1.53646885788691e-13,ENSG00000101849_gna
ENSG00000137075,-0.594,1.85853282187816e-13,ENSG00000137075_gna
ENSG00000168807,-0.695,2.64054102046565e-13,ENSG00000168807_gna
ENSG00000068912,0.626,3.5502570531262e-13,ENSG00000068912_gna
ENSG00000122376,0.665,3.88255103159537e-13,ENSG00000122376_gna
ENSG00000115935,0.538,3.92557765204768e-13,ENSG00000115935_gna
ENSG00000113070,0.901,4.98826292745709e-13,ENSG00000113070_gna
ENSG00000111450,0.759,5.75182539192791e-13,ENSG00000111450_gna
ENSG00000101347,-0.532,5.78073540468605e-13,ENSG00000101347_gna
ENSG00000144802,0.571,5.8067736170925e-13,ENSG00000144802_gna
ENSG00000111912,0.505,7.708010295196819e-13,ENSG00000111912_gna
ENSG00000176018,0.612,9.67382187894791e-13,ENSG00000176018_gna
ENSG00000165410,-0.483,9.69032684100561e-13,ENSG00000165410_gna
ENSG00000141424,0.448,1.00238461267387e-12,ENSG00000141424_gna
ENSG00000115159,-0.458,1.66964263627569e-12,ENSG00000115159_gna
